"Kod";"Nazwa";"Miejsca pracy";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"nowo utworzone miejsca pracy";"2015";595,8;"tys. msc.";"";
0000000;"POLSKA";"nowo utworzone miejsca pracy";"2016";618,7;"tys. msc.";"";
0000000;"POLSKA";"nowo utworzone miejsca pracy";"2017";694,1;"tys. msc.";"";
0000000;"POLSKA";"nowo utworzone miejsca pracy";"2018";717,8;"tys. msc.";"";
0000000;"POLSKA";"nowo utworzone miejsca pracy";"2019";674,8;"tys. msc.";"";
0000000;"POLSKA";"nowo utworzone miejsca pracy";"2020";470,4;"tys. msc.";"";
0000000;"POLSKA";"nowo utworzone miejsca pracy";"2021";582,7;"tys. msc.";"";
0000000;"POLSKA";"nowo utworzone miejsca pracy";"2022";534,8;"tys. msc.";"";
0000000;"POLSKA";"nowo utworzone miejsca pracy";"2023";438,8;"tys. msc.";"";
0000000;"POLSKA";"nowo utworzone miejsca pracy";"2024";465,1;"tys. msc.";"";
0000000;"POLSKA";"zlikwidowane miejsca pracy";"2015";317,6;"tys. msc.";"";
0000000;"POLSKA";"zlikwidowane miejsca pracy";"2016";284,2;"tys. msc.";"";
0000000;"POLSKA";"zlikwidowane miejsca pracy";"2017";264,2;"tys. msc.";"";
0000000;"POLSKA";"zlikwidowane miejsca pracy";"2018";300,5;"tys. msc.";"";
0000000;"POLSKA";"zlikwidowane miejsca pracy";"2019";314,1;"tys. msc.";"";
0000000;"POLSKA";"zlikwidowane miejsca pracy";"2020";329,8;"tys. msc.";"";
0000000;"POLSKA";"zlikwidowane miejsca pracy";"2021";251,4;"tys. msc.";"";
0000000;"POLSKA";"zlikwidowane miejsca pracy";"2022";275,0;"tys. msc.";"";
0000000;"POLSKA";"zlikwidowane miejsca pracy";"2023";252,3;"tys. msc.";"";
0000000;"POLSKA";"zlikwidowane miejsca pracy";"2024";259,0;"tys. msc.";"";
0200000;"DOLNOŚLĄSKIE";"nowo utworzone miejsca pracy";"2015";47,9;"tys. msc.";"";
0200000;"DOLNOŚLĄSKIE";"nowo utworzone miejsca pracy";"2016";51,3;"tys. msc.";"";
0200000;"DOLNOŚLĄSKIE";"nowo utworzone miejsca pracy";"2017";57,6;"tys. msc.";"";
0200000;"DOLNOŚLĄSKIE";"nowo utworzone miejsca pracy";"2018";47,6;"tys. msc.";"";
0200000;"DOLNOŚLĄSKIE";"nowo utworzone miejsca pracy";"2019";51,5;"tys. msc.";"";
0200000;"DOLNOŚLĄSKIE";"nowo utworzone miejsca pracy";"2020";45,4;"tys. msc.";"";
0200000;"DOLNOŚLĄSKIE";"nowo utworzone miejsca pracy";"2021";46,9;"tys. msc.";"";
0200000;"DOLNOŚLĄSKIE";"nowo utworzone miejsca pracy";"2022";40,0;"tys. msc.";"";
0200000;"DOLNOŚLĄSKIE";"nowo utworzone miejsca pracy";"2023";33,2;"tys. msc.";"";
0200000;"DOLNOŚLĄSKIE";"nowo utworzone miejsca pracy";"2024";34,2;"tys. msc.";"";
0200000;"DOLNOŚLĄSKIE";"zlikwidowane miejsca pracy";"2015";21,9;"tys. msc.";"";
0200000;"DOLNOŚLĄSKIE";"zlikwidowane miejsca pracy";"2016";18,0;"tys. msc.";"";
0200000;"DOLNOŚLĄSKIE";"zlikwidowane miejsca pracy";"2017";20,7;"tys. msc.";"";
0200000;"DOLNOŚLĄSKIE";"zlikwidowane miejsca pracy";"2018";17,6;"tys. msc.";"";
0200000;"DOLNOŚLĄSKIE";"zlikwidowane miejsca pracy";"2019";22,5;"tys. msc.";"";
0200000;"DOLNOŚLĄSKIE";"zlikwidowane miejsca pracy";"2020";22,2;"tys. msc.";"";
0200000;"DOLNOŚLĄSKIE";"zlikwidowane miejsca pracy";"2021";19,5;"tys. msc.";"";
0200000;"DOLNOŚLĄSKIE";"zlikwidowane miejsca pracy";"2022";23,8;"tys. msc.";"";
0200000;"DOLNOŚLĄSKIE";"zlikwidowane miejsca pracy";"2023";18,3;"tys. msc.";"";
0200000;"DOLNOŚLĄSKIE";"zlikwidowane miejsca pracy";"2024";24,9;"tys. msc.";"v";
0400000;"KUJAWSKO-POMORSKIE";"nowo utworzone miejsca pracy";"2015";24,2;"tys. msc.";"";
0400000;"KUJAWSKO-POMORSKIE";"nowo utworzone miejsca pracy";"2016";23,4;"tys. msc.";"";
0400000;"KUJAWSKO-POMORSKIE";"nowo utworzone miejsca pracy";"2017";25,9;"tys. msc.";"";
0400000;"KUJAWSKO-POMORSKIE";"nowo utworzone miejsca pracy";"2018";31,2;"tys. msc.";"";
0400000;"KUJAWSKO-POMORSKIE";"nowo utworzone miejsca pracy";"2019";23,8;"tys. msc.";"";
0400000;"KUJAWSKO-POMORSKIE";"nowo utworzone miejsca pracy";"2020";20,3;"tys. msc.";"";
0400000;"KUJAWSKO-POMORSKIE";"nowo utworzone miejsca pracy";"2021";24,1;"tys. msc.";"";
0400000;"KUJAWSKO-POMORSKIE";"nowo utworzone miejsca pracy";"2022";21,3;"tys. msc.";"";
0400000;"KUJAWSKO-POMORSKIE";"nowo utworzone miejsca pracy";"2023";17,9;"tys. msc.";"";
0400000;"KUJAWSKO-POMORSKIE";"nowo utworzone miejsca pracy";"2024";17,0;"tys. msc.";"";
0400000;"KUJAWSKO-POMORSKIE";"zlikwidowane miejsca pracy";"2015";10,4;"tys. msc.";"";
0400000;"KUJAWSKO-POMORSKIE";"zlikwidowane miejsca pracy";"2016";11,2;"tys. msc.";"";
